id,word_freq,match,average_length,cluster_name
1245,"[('fungalisha', 4), ('feeds', 3), ('fugalisha', 2), ('feed', 2), ('fuga', 1), ('lisha', 1), ('2', 1), ('', 1)]","['fuga lisha', 'fugalisha', 'fungalisha']",2.0,fungalisha feeds
1246,"[('malindi', 3), ('salt', 2), ('masindi', 2), ('salts', 1), ('compy', 1), ('seeds', 1), ('malidi', 1)]","['malindi', 'malidi', 'masindi']",2.0,malindi salt
1247,"[('knife', 1)]",['knife'],1.0,knife
1248,"[('jiangyin', 1), ('suli', 1), ('fine', 1)]",['jiangyin suli'],3.0,jiangyin suli fine
1249,"[('jat', 5), ('shanghai', 5), ('trading', 4), ('tading', 1), ('jattrading', 1), ('co.', 1), ('ltd', 1), ('co.ltd', 1), ('co', 1)]","['jat tading', 'jat trading', 'jattrading']",3.0,jat shanghai trading
1250,"[('relax', 1), ('biotech', 1)]",['relax'],2.0,relax biotech
1251,"[('supamola', 1), ('supa', 1), ('mola', 1), ('product', 1)]","['supamola', 'supa-mola']",2.0,supamola supa
1252,"[('basf', 2), ('se', 1), ('asf', 1)]","['basf', 'asf']",1.0,basf
1253,"[('lake', 7), ('land', 1), ('oil', 1), ('feeds', 1), ('victoria', 1), ('gas', 1), ('fish', 1)]",['lake'],2.0,lake land
1254,"[('liwumi', 1), ('traders', 1), ('ltd', 1)]",['liwumi traders'],3.0,liwumi traders ltd
1255,"[('shenyang', 3), ('shanyang', 1), ('sciecreat', 1), ('sciencreat', 1), ('chemicals', 1)]","['shanyang', 'shenyang']",2.0,shenyang shanyang
1256,"[('mashambani', 1)]",['mashambani'],1.0,mashambani
1257,"[('big', 4), ('brig', 1), ('g', 1), ('k', 1), ('daddy', 1)]","['brig', 'big']",2.0,big brig
1258,"[('sabaki', 2), ('feeds', 1)]",['sabaki'],2.0,sabaki feeds
1259,"[('strongarms', 1), ('strongarm', 1)]","['strongarms', 'strongarm']",1.0,strongarms
1260,"[('leston', 1)]",['leston'],1.0,leston
1261,"[('sanico', 3), ('limited', 1), ('ltd', 1)]",['sanico'],2.0,sanico limited
1262,"[('keb', 1), ('kebs', 1)]","['keb', 'kebs', 'kebl']",1.0,keb
1263,"[('vermipro', 1)]",['vermipro'],1.0,vermipro
